1;1;Advocacy and promotion of Kaizen 
2;1;STI web platform developed and awareness raised among key users
3;1;STI training and raised awareness on R&D innovation indicators
4;1;A system for measuring and tracking the utilization and awareness of STI indicators developed and adopted
5;1;Knowledge products on Innovation Policy Comprehensiveness, Informal Sector innovations and National Innovation Systems produced
6;1;A web-based framework for assessing and measuring innovation potential of a country developed
7;1;STI, Education and Health indicators integrated into the African Union policy and decision making processes
8;1;ASTII Impact evaluated
9;1;ASTII Communication and  Knowledge products disseminated
10;1;SGCs' Capacity to design and monitor research programs strengthened  by developing a guide to best practice
11;1;Private sector participation in PIDA projects is enhanced
12;1;An Aggregated Financial Guarantee Mechanism for PIDA  projects developed and implemented
13;1;Strengthening the North African transmission line and creation regional energy market platform
14;1;Updated status of the Egypt, Sudan, Ethiopia, Kenya Interconnectors and implementation supported
15;1;Synergistic integration of development of Batoka, Inga III, ZTK projects 
16;1;West and Central Africa Power pools engaged  on PIDA projects
17;1;Cross-border Cybersecurity Infrastructure and Coordination mechanisms established
18;1;ICT Infrastructure (PIDA ICT Missing Links & Regional Data Centers) studies completed and implementation plans developed
19;1;Resources mobilised for Entrepreneurship & digital economy (innovation and SME development) project
20;1;Trade facilitation and integrated access to markets approach piloted in countries
21;1;Data and information collected on PIDA projects 
22;1;Communication of PIDA PAP implementation to stakeholders is enhanced
23;1;PIDA Week 2018 organized 
24;1;RECs enabling environment and need assessment conducted (PIDA CAP projects)
25;1;Pre-feasibility and Feasibility Study Approved (PIDA CAP projects)
26;1;Priority projects reviewed, selected packaged and showcased (PIDA CAP projects)
27;1;Financial Structuring Plan Developed and Project Funding Approved (PIDA CAP projects)
28;1;Strengthened technical capacity for PIDA implementation at RECs (PIDA CAP projects)
29;1;Technical advisory services in early stage project preparation (pre-feasibility to feasibility) provided to RECs 
30;1;Improved SDM financial  status and strategic outreach
31;1;Traffic Light System (TLS) Operationalized
32;1;MoveAfrica Status Report developed
33;1;MoveAfrica results produced and Showcased
