1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;2
18;2
19;2
20;2
21;2
22;2
23;2
24;2
25;2
26;2
27;2
28;2
29;2
30;3
31;3
32;3
33;3
34;3
35;3
36;3
37;3
38;3
39;3
40;3
41;4
42;4
43;4
44;4
45;4
46;4
47;4
48;4
49;5
50;5
51;5
52;5
53;5
54;5
55;5
56;5
57;5
58;5
59;5
60;5
61;5
62;5
63;5
64;5
65;5
66;5
67;5
68;5
69;5
70;6
71;6
72;6
73;6
74;6
75;6
76;6
77;6
78;6
79;6
80;7
81;7
82;7
83;7
84;7
85;7
86;7
87;7
88;7
89;7
90;7
91;7
92;7
93;7
94;7
95;7
96;7
97;7
